utterance,expected_tool,expected_keys,description
"Show me ACT courses related to Data Cloud",content_search,"topic,source","ACT Data Cloud Courses"
"List Sales Cloud ACT courses created between Jan 1 and Mar 31",content_search,"topic,source,dateRange","ACT Sales Cloud Courses - Q1"
"Find Sales Cloud ACT courses with completion rate > 60%",content_search,"topic,source,completionRate","ACT Sales Cloud High Completion"
"For those courses, show enrollments",content_search,"topic,source,enrollments","ACT Course Enrollments"
"Show a Consensus demo on Data Cloud",content_search,"topic,source,demoType","Consensus Data Cloud Demo"
"Find Consensus demo videos for Data Cloud created in the last quarter",content_search,"topic,source,dateRange","Consensus Data Cloud Q4 Demos"
"List ACT curricula for Sales Cloud with completion rate > 75% and show links",content_search,"topic,source,completionRate,links","ACT Sales Cloud High Completion with Links"
"Show ACT assets tagged 'Data Cloud' created this year",content_search,"topic,source,tags,dateRange","ACT Data Cloud Assets 2024"
"From ACT, show top 5 Sales Cloud courses by enrollment",content_search,"topic,source,limit,orderBy","ACT Top Sales Cloud Courses"
"Show Consensus demos for Sales Cloud with a public preview link",content_search,"topic,source,demoType,previewLink","Consensus Sales Cloud Public Demos"
"Find ACT courses about Service Cloud with completion rate > 80%",content_search,"topic,source,completionRate","ACT Service Cloud High Completion"
"Show me Consensus demo videos for Marketing Cloud created in the last 6 months",content_search,"topic,source,dateRange","Consensus Marketing Cloud Recent Demos"
"List ACT curricula for Data Cloud with enrollment > 1000 students",content_search,"topic,source,enrollment","ACT Data Cloud High Enrollment"
"Find ACT courses tagged with 'Sales Cloud' and 'Certification'",content_search,"topic,source,tags","ACT Sales Cloud Certification Courses"
"Show Consensus demos for Service Cloud with public access",content_search,"topic,source,demoType,access","Consensus Service Cloud Public Demos"
"List ACT courses for Data Cloud created between April and June",content_search,"topic,source,dateRange","ACT Data Cloud Q2 Courses"
"Find ACT curricula with completion rate between 70% and 90%",content_search,"topic,source,completionRate","ACT Courses Medium-High Completion"
"Show Consensus demo videos for Marketing Cloud with preview links",content_search,"topic,source,demoType,previewLink","Consensus Marketing Cloud Preview Demos"
"List ACT courses for Sales Cloud with enrollment > 500 students",content_search,"topic,source,enrollment","ACT Sales Cloud Medium Enrollment"
"Find ACT assets created in the last quarter with 'Data Cloud' tag",content_search,"topic,source,tags,dateRange","ACT Data Cloud Recent Assets"
"Show Consensus demos for Data Cloud created this year",content_search,"topic,source,dateRange","Consensus Data Cloud 2024 Demos"
"List ACT courses for Service Cloud with completion rate > 85%",content_search,"topic,source,completionRate","ACT Service Cloud Very High Completion"
"Find ACT curricula tagged with 'Marketing Cloud' and 'Advanced'",content_search,"topic,source,tags","ACT Marketing Cloud Advanced Courses"
"Show Consensus demo videos for Sales Cloud with public preview",content_search,"topic,source,demoType,preview","Consensus Sales Cloud Preview Demos"
"List ACT courses for Data Cloud with enrollment between 200 and 800",content_search,"topic,source,enrollment","ACT Data Cloud Medium Enrollment"
"Find ACT assets for Service Cloud created in the last 3 months",content_search,"topic,source,dateRange","ACT Service Cloud Recent Assets"
"Show Consensus demos for Marketing Cloud with completion tracking",content_search,"topic,source,demoType,tracking","Consensus Marketing Cloud Tracked Demos"
"List ACT courses for Sales Cloud with completion rate > 90%",content_search,"topic,source,completionRate","ACT Sales Cloud Excellent Completion"
"Find ACT curricula for Data Cloud with enrollment > 1500 students",content_search,"topic,source,enrollment","ACT Data Cloud Very High Enrollment"
