Case ID,Description,Utterance,MCP Success,MCP Tool,MCP Args,MCP Time (ms),Apex Success,Apex Time (ms),Overall Success,Error Message
1,ACT Data Cloud Courses,Show me ACT courses related to Data Cloud,True,workflow,"{""context"": ""Show me ACT courses related to Data Cloud"", ""process"": ""general""}",7.8,True,0.0,True,
2,ACT Sales Cloud Courses - Q1,List Sales Cloud ACT courses created between Jan 1 and Mar 31,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.3,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
3,ACT Sales Cloud High Completion,Find Sales Cloud ACT courses with completion rate > 60%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
4,ACT Course Enrollments,"For those courses, show enrollments",False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},3.3,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
5,Consensus Data Cloud Demo,Show a Consensus demo on Data Cloud,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.5,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
6,Consensus Data Cloud Q4 Demos,Find Consensus demo videos for Data Cloud created in the last quarter,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
7,ACT Sales Cloud High Completion with Links,List ACT curricula for Sales Cloud with completion rate > 75% and show links,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.9,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
8,ACT Data Cloud Assets 2024,Show ACT assets tagged 'Data Cloud' created this year,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.2,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
9,ACT Top Sales Cloud Courses,"From ACT, show top 5 Sales Cloud courses by enrollment",True,workflow,"{""context"": ""From ACT, show top 5 Sales Cloud courses by enrollment"", ""process"": ""general""}",2.1,True,0.0,True,
10,Consensus Sales Cloud Public Demos,Show Consensus demos for Sales Cloud with a public preview link,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},7.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
11,ACT Service Cloud High Completion,Find ACT courses about Service Cloud with completion rate > 80%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
12,Consensus Marketing Cloud Recent Demos,Show me Consensus demo videos for Marketing Cloud created in the last 6 months,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.6,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
13,ACT Data Cloud High Enrollment,List ACT curricula for Data Cloud with enrollment > 1000 students,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.8,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
14,ACT Sales Cloud Certification Courses,Find ACT courses tagged with 'Sales Cloud' and 'Certification',False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.8,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
15,Consensus Service Cloud Public Demos,Show Consensus demos for Service Cloud with public access,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.8,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
